DIS-ID-NAME,DIS-ID,RADIO-ID,FREQUENCY-NAME,FREQUENCY,PTT-ON,PTT-OFF,PTT-DURATION,DAC-SAMPLES,VAD,FILENAME,TRUNCATED?,CONTENT?
"3","13000:3:3",1,"",240800000,00:03:31.231,00:03:34.309,3.079,3.072,0.906,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_211.231s.au"),0,1
"3","13000:3:3",1,"",240800000,00:03:34.755,00:03:34.990,0.234,0.240,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_214.756s.au"),0,1
"2","13000:2:2",1,"",240800000,00:03:34.110,00:03:39.330,5.221,5.216,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_214.110s.au"),0,1
"3","13000:3:3",1,"",240800000,00:03:46.386,00:03:48.236,1.850,1.856,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_226.387s.au"),0,1
"3","13000:3:3",1,"",240800000,00:03:53.843,00:03:54.220,0.377,0.384,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_233.843s.au"),0,1
"2","13000:2:2",1,"",240800000,00:03:49.886,00:03:54.610,4.725,4.720,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_229.886s.au"),0,1
"3","13000:3:3",1,"",240800000,00:03:54.524,00:03:59.136,4.613,4.608,0.979,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_234.524s.au"),0,1
"2","13000:2:2",1,"",240800000,00:03:59.983,00:04:01.679,1.696,1.696,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_239.984s.au"),0,1
"3","13000:3:3",1,"",240800000,00:04:10.320,00:04:12.708,2.388,2.384,0.966,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_250.321s.au"),0,1
"3","13000:3:3",1,"",240800000,00:04:17.971,00:04:20.226,2.256,2.256,0.986,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_257.971s.au"),0,1
"3","13000:3:3",1,"",240800000,00:04:20.895,00:04:21.506,0.610,0.608,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_260.896s.au"),0,1
"2","13000:2:2",1,"",240800000,00:04:21.407,00:04:22.109,0.702,0.704,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_261.407s.au"),0,1
"3","13000:3:3",1,"",240800000,00:04:22.867,00:04:24.065,1.198,1.200,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_262.867s.au"),0,1
"3","13000:3:3",1,"",240800000,00:04:25.427,00:04:25.847,0.421,0.416,0.808,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_265.427s.au"),0,1
"3","13000:3:3",1,"",240800000,00:04:32.101,00:04:35.505,3.403,3.408,0.854,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_272.102s.au"),0,1
